headpose,xCord,yCord,timestamp,count,numPerson,personId
"2","296.2895182291667","281.1514472336066","1104","157","1","0"
"2","302.26389973958334","281.947521772541","1104","160","1","0"
"2","301.4902018229167","282.5789254610656","1105","164","1","0"
"2","304.4134765625","281.98693647540983","1105","165","1","0"
"2","302.95856119791665","283.5848808913935","1105","168","1","0"
"2","304.09466145833335","279.8426933913935","1105","169","1","0"
"2","300.2180989583333","281.3822361680328","1106","174","1","0"
"2","298.2357421875","281.52097207991807","1106","176","1","0"
"2","297.6453450520833","283.4721119364754","1106","177","1","0"
"2","297.45856119791665","283.7541303790984","1106","178","1","0"
"2","298.96197916666665","282.61164830942624","1106","179","1","0"
"2","300.7594401041667","283.6763255635246","1106","180","1","0"
"2","301.7089518229167","282.8955878586066","1107","181","1","0"
"2","305.3497721354167","281.2416111680328","1107","182","1","0"
